List,Sector,Short Form,Category,For TV,Market Cap,,Ticker,Cap Type,,,,SNo,Stategy,Flagship 40 (F40),Emerging 40 (E40),Smartpick 200 (S200),All listed,,List,Method,Cap,LIst Update,Volatality,Reward,Priority in Opportunity
,,,,,,,DODLA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AJAXENGG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DBREALTY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GALAXYSURF,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ETHOSLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HNDFDS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASHAPURMIN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SIGMAADV,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOKULAGRO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SJS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GREENLAM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CITIUSINVT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CSBBANK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GARFIBRES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHAKTIPUMP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ALOKINDS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BALAMINES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NEPHROPLUS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ARVINDFASN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NEWGEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KWIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FEDFINA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUPRIYA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MOIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ICIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUPRAJIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHREMINVIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAIN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FDC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IONEXCHANG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FIEMIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TIIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CEIGALL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAPPHIRE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PRSMJOHNSN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526570,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PICCADIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GANESHHOU,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DCBBANK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ENTERO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HCC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KOVAI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SENCO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HAPPSTMNDS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PTC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BALUFORGE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAATVIKGL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NIRLON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SMLMAH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MASFIN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,501945,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SIS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BECTORFOOD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AEROFLEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDUSINVIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PNCINFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PURVA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SKIPPER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LUMAXIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AHLUCONT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NDRINVIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EPIGRAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TVSSCS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SENORES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OMNI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DHANUKA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VMART,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ICRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOKEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SMARTWORKS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MASTEK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GVPIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GUJALKALI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CMSINFO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,542543,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PILANIINVS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ELECTCAST,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EBGNG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RUSTOMJEE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CARERATING,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ELITECON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JSFB,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RENUKA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BANSALWIRE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KMEW,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CRAMC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SYMPHONY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RTNPOWER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RALLIS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LGBBROSLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INNOVACAP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CCAVENUE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NETWORK18,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHARDAMOTR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UNIMECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STYLAMIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RTNINDIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WEBELSOLAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUBROS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NEOGEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IRBINVIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AGIIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526433,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MBAPL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ITDC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KSCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDIGOPNTS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAPMYINDIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SURYAROSNI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOODLUCK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KSHINTL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JAMNAAUTO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CENTUM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHILCTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RESPONIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MANINFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IBULLSLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NORTHARC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TEXRAIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOLDIAM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DATAMATICS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SWSOLAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,POCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GULFOILLUB,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AVANTEL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ARTEMISMED,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AURIONPRO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SWARAJENG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MIDWESTLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PAISALO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BANARISUG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EMIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WPIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MHRIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,519477,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUNTECK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JUSTDIAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAYMONDLSL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BAJAJHIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAMRAT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JUNIPER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,THOMASCOOK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VSTIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RPEL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VIPIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STYL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WAKEFIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LXCHEM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IFBIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KISSHT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SANDHAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GUJTHEM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PDSL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ADVENZYMES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MANINDS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VRLLOG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HEMIPROP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TRUALT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CAPILLARY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SEAMECLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SINDHUTRAD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OSWALPUMPS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PACEDIGITK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VSTTILLERS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LUXIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAYMONDREL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GHCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,506854,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VISHNU,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UNIVCABLES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KRISHANA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SBCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EMUDHRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MOSCHIP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GREAVESCOT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STYRENIX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WHEELS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ORIANA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RBA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ANUP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ORIENTELEC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TARC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HGINFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CRIZAC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ROLEXRINGS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BAJAJELEC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,REFEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ZOTA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AGI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CHEMPLASTS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TIMEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JKIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PREMEXPLN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ROSSTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VAIBHAVGBL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASHIANA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SGFIN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DEEDEV,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OPTIEMUS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HAWKINCOOK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NFL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543971,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FOSECOIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KNRCON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NRBBEARING,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543542,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ELLEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RPGLIFE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BOSCH-HCIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAYMOND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHOPERSTOP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DBCORP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NACLIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EIEL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HEIDELBERG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HARSHA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOPAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IOLCP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ORCHPHARMA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GMMPFAUDLR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KSL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAMHI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RPTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AARTIDRUGS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AYE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAHLOG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IDEAFORGE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JTEKTINDIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDIQUBE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PITTIENG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CYIENTDLM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CIGNITITEC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASHOKA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SMSPHARMA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,542727,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CARRARO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDOSTAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KDDL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SANATHAN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TECHNVISN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHANTIGEAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ARSSBL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KOLTEPATIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TFCILTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BLISSGVS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NOVARTIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HIRECT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDRAMEDCO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MARINE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAJESHEXPO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,516038,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SSWL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WSTCSTPAPR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SANGHVIMOV,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BNAGROCHEM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MARATHON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GREENPLY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GRMOVER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GUFICBIO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KIRLOSIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ROUTE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KITEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAYURUNIQ,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,COCKERILL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ANZEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BHAGCHEM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAMKY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CARYSIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RSYSTEMS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAMBHV,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SEIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NAVNETEDUL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FLAIR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VADILALIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BALMLAWRIE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DCAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,542866,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BBL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JINDALPOLY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GRAUWEIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RPSGVENT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HERITGFOOD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,QUESS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHAREINDIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PSPPROJECT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MPSLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WONDERLA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ADFFOODS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MUTHOOTMF,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INTERARCH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MSTCLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUNCLAY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DEEPINDS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NIITMTS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DREDGECORP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PRINCEPIPE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ROSSARI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UFLEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,63MOONS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HUBTOWN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DECNGOLD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VENUSPIPES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NSIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ZAGGLE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SASKEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EASEMYTRIP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SOTL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STEELCAS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,POLYPLEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FUSION,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ORIENTCEM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WELSPLSOL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ELPROINTL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ROADSTAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NITINSPIN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VMARCIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543619,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ARVSMART,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GATEWAY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JUBLCPL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NOCIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TATVA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NXT-INFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TVSSRICHAK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DALMIASUG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KKCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAITHANALL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SETL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SIYSIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MEDIASSIST,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,513119,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EFCIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BOROLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544224,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AUTOAXLES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JINDWORLD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JTLIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,POKARNA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VSSL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PARAGMILK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HIKAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,XPROINDIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RELINFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDOTHAI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PARKHOTELS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MARSONS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PATELENG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BOMDYEING,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KLBRENG-B,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MONARCH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INDOTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AJMERA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KIRIINDUS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SANGAMIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AWFIS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GKENERGY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JAYKAY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STYLEBAAZA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FMGOETZE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GLOBUSSPR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ANTELOPUS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PANACEABIO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,APCOTEXIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BUILDPRO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RML,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PROTEAN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUNDROP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,YASHO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TIRUMALCHM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JASH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RAMCOIND,Small Cap,,,,,,,,,,,,,,,,,
