List,Sector,Short Form,Category,For TV,Market Cap,,Ticker,Cap Type,,,,SNo,Stategy,Flagship 40 (F40),Emerging 40 (E40),Smartpick 200 (S200),All listed,,List,Method,Cap,LIst Update,Volatality,Reward,Priority in Opportunity
QUESS,MANPOWER,E40,Emerging 40,"QUESS,",Small Cap,,TATASTEEL,Large Cap,,,,,,,,,,,,,,,,,
TEAMLEASE,MANPOWER,E40,Emerging 40,"TEAMLEASE,",Small Cap,,ASIANPAINT,Large Cap,,,,,,,,,,,,,,,,,
ASTRAZEN,PHARMA,E40,Emerging 40,"ASTRAZEN,",Small Cap,,HINDALCO,Large Cap,,,,,,,,,,,,,,,,,
ERIS,PHARMA,E40,Emerging 40,"ERIS,",Small Cap,,ETERNAL,Large Cap,,,,,,,,,,,,,,,,,
LALPATHLAB,PHARMA,E40,Emerging 40,"LALPATHLAB,",Small Cap,,ADANIGREEN,Large Cap,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,AUTO,F40,Flagship 40,"BAJAJ-AUTO,",Large Cap,,SHRIRAMFIN,Large Cap,,,,,,,,,,,,,,,,,
MARUTI,AUTO,F40,Flagship 40,"MARUTI,",Large Cap,,WIPRO,Large Cap,,,,,,,,,,,,,,,,,
AXISBANK,BANKS,F40,Flagship 40,"AXISBANK,",Large Cap,,GRASIM,Large Cap,,,,,,,,,,,,,,,,,
HDFCBANK,BANKS,F40,Flagship 40,"HDFCBANK,",Large Cap,,EICHERMOT,Large Cap,,,,,,,,,,,,,,,,,
ICICIBANK,BANKS,F40,Flagship 40,"ICICIBANK,",Large Cap,,IOC,Large Cap,,,,,,,,,,,,,,,,,
KOTAKBANK,BANKS,F40,Flagship 40,"KOTAKBANK,",Large Cap,,SBILIFE,Large Cap,,,,,,,,,,,,,,,,,
SBIN,BANKS,F40,Flagship 40,"SBIN,",Large Cap,,VBL,Large Cap,,,,,,,,,,,,,,,,,
LT,CONGLOMEARTE,F40,Flagship 40,"LT,",Large Cap,,DIVISLAB,Large Cap,,,,,,,,,,,,,,,,,
RELIANCE,CONGLOMEARTE,F40,Flagship 40,"RELIANCE,",Large Cap,,BSE,Large Cap,,,,,,,,,,,,,,,,,
TITAN,CONSUMER PRODUCTS,F40,Flagship 40,"TITAN,",Large Cap,,INDIGO,Large Cap,,,,,,,,,,,,,,,,,
HINDUNILVR,FMCG,F40,Flagship 40,"HINDUNILVR,",Large Cap,,ADANIENSOL,Large Cap,,,,,,,,,,,,,,,,,
ITC,FMCG,F40,Flagship 40,"ITC,",Large Cap,,SOLARINDS,Large Cap,,,,,,,,,,,,,,,,,
NESTLEIND,FMCG,F40,Flagship 40,"NESTLEIND,",Large Cap,,ICICIAMC,Large Cap,,,,,,,,,,,,,,,,,
PIDILITIND,FMCG,F40,Flagship 40,"PIDILITIND,",Large Cap,,TVSMOTOR,Large Cap,,,,,,,,,,,,,,,,,
HCLTECH,IT,F40,Flagship 40,"HCLTECH,",Large Cap,,JIOFIN,Large Cap,,,,,,,,,,,,,,,,,
INFY,IT,F40,Flagship 40,"INFY,",Large Cap,,POWERINDIA,Large Cap,,,,,,,,,,,,,,,,,
TCS,IT,F40,Flagship 40,"TCS,",Large Cap,,TORNTPHARM,Large Cap,,,,,,,,,,,,,,,,,
BAJAJFINSV,NON-BANKING,F40,Flagship 40,"BAJAJFINSV,",Large Cap,,TRENT,Large Cap,,,,,,,,,,,,,,,,,
BAJAJHLDNG,NON-BANKING,F40,Flagship 40,"BAJAJHLDNG,",Large Cap,,HYUNDAI,Large Cap,,,,,,,,,,,,,,,,,
BAJFINANCE,NON-BANKING,F40,Flagship 40,"BAJFINANCE,",Large Cap,,IDEA,Large Cap,,,,,,,,,,,,,,,,,
HDFCAMC,NON-BANKING-AMC,F40,Flagship 40,"HDFCAMC,",Large Cap,,PIDILITIND,Large Cap,,,,,,,,,,,,,,,,,
HDFCLIFE,NON-BANKING-Insurance,F40,Flagship 40,"HDFCLIFE,",Large Cap,,CUMMINSIND,Large Cap,,,,,,,,,,,,,,,,,
ASIANPAINT,PAINT,F40,Flagship 40,"ASIANPAINT,",Large Cap,,DLF,Large Cap,,,,,,,,,,,,,,,,,
HAVELLS,CONSUMER PRODUCTS,F40,Flagship 40,"HAVELLS,",Mid Cap,,BHEL,Large Cap,,,,,,,,,,,,,,,,,
PAGEIND,CONSUMER PRODUCTS,F40,Flagship 40,"PAGEIND,",Mid Cap,,TMCV,Large Cap,,,,,,,,,,,,,,,,,
VOLTAS,CONSUMER PRODUCTS,F40,Flagship 40,"VOLTAS,",Mid Cap,,PFC,Large Cap,,,,,,,,,,,,,,,,,
COLPAL,FMCG,F40,Flagship 40,"COLPAL,",Mid Cap,,MOTHERSON,Large Cap,,,,,,,,,,,,,,,,,
DABUR,FMCG,F40,Flagship 40,"DABUR,",Mid Cap,,ABB,Large Cap,,,,,,,,,,,,,,,,,
MARICO,FMCG,F40,Flagship 40,"MARICO,",Mid Cap,,POLYCAB,Large Cap,,,,,,,,,,,,,,,,,
PGHH,FMCG,F40,Flagship 40,"PGHH,",Small Cap,,BANKBARODA,Large Cap,,,,,,,,,,,,,,,,,
ICICIGI,NON-BANKING,F40,Flagship 40,"ICICIGI,",Mid Cap,,TECHM,Large Cap,,,,,,,,,,,,,,,,,
NAM-INDIA,NON-BANKING-AMC,F40,Flagship 40,"NAM-INDIA,",Mid Cap,,TMPV,Large Cap,,,,,,,,,,,,,,,,,
ICICIPRULI,NON-BANKING-Insurance,F40,Flagship 40,"ICICIPRULI,",Mid Cap,,CGPOWER,Large Cap,,,,,,,,,,,,,,,,,
BERGEPAINT,PAINT,F40,Flagship 40,"BERGEPAINT,",Mid Cap,,CHOLAFIN,Large Cap,,,,,,,,,,,,,,,,,
ABBOTINDIA,PHARMA,F40,Flagship 40,"ABBOTINDIA,",Mid Cap,,MUTHOOTFIN,Large Cap,,,,,,,,,,,,,,,,,
GLAXO,PHARMA,F40,Flagship 40,"GLAXO,",Mid Cap,,HDFCLIFE,Large Cap,,,,,,,,,,,,,,,,,
BATAINDIA,CONSUMER PRODUCTS,F40,Flagship 40,"BATAINDIA,",Small Cap,,BPCL,Large Cap,,,,,,,,,,,,,,,,,
GILLETTE,FMCG,F40,Flagship 40,"GILLETTE,",Small Cap,,TATAPOWER,Large Cap,,,,,,,,,,,,,,,,,
PFIZER,PHARMA,F40,Flagship 40,"PFIZER,",Small Cap,,TATACAP,Large Cap,,,,,,,,,,,,,,,,,
SANOFI,PHARMA,F40,Flagship 40,"SANOFI,",Small Cap,,IRFC,Large Cap,,,,,,,,,,,,,,,,,
TCS,Normal,S200,Smartpick 200,"TCS,",Large Cap,,SIEMENS,Large Cap,,,,,,,,,,,,,,,,,
LICI,Normal,S200,Smartpick 200,"LICI,",Large Cap,,VEDL,Large Cap,,,,,,,,,,,,,,,,,
HINDUNILVR,Normal,S200,Smartpick 200,"HINDUNILVR,",Large Cap,,UNIONBANK,Large Cap,,,,,,,,,,,,,,,,,
INFY,Normal,S200,Smartpick 200,"INFY,",Large Cap,,BRITANNIA,Large Cap,,,,,,,,,,,,,,,,,
SUNPHARMA,Normal,S200,Smartpick 200,"SUNPHARMA,",Large Cap,,ENRIN,Large Cap,,,,,,,,,,,,,,,,,
MARUTI,Normal,S200,Smartpick 200,"MARUTI,",Large Cap,,JINDALSTEL,Large Cap,,,,,,,,,,,,,,,,,
ITC,Normal,S200,Smartpick 200,"ITC,",Large Cap,,GVT&D,Large Cap,,,,,,,,,,,,,,,,,
HCLTECH,Normal,S200,Smartpick 200,"HCLTECH,",Large Cap,,PNB,Large Cap,,,,,,,,,,,,,,,,,
BEL,Normal,S200,Smartpick 200,"BEL,",Large Cap,,CANBK,Large Cap,,,,,,,,,,,,,,,,,
HAL,Normal,S200,Smartpick 200,"HAL,",Large Cap,,APOLLOHOSP,Large Cap,,,,,,,,,,,,,,,,,
COALINDIA,Normal,S200,Smartpick 200,"COALINDIA,",Large Cap,,GROWW,Large Cap,,,,,,,,,,,,,,,,,
NESTLEIND,Normal,S200,Smartpick 200,"NESTLEIND,",Large Cap,,BAJAJHLDNG,Large Cap,,,,,,,,,,,,,,,,,
DMART,Normal,S200,Smartpick 200,"DMART,",Large Cap,,LTM,Large Cap,,,,,,,,,,,,,,,,,
ASIANPAINT,Normal,S200,Smartpick 200,"ASIANPAINT,",Large Cap,,HDFCAMC,Large Cap,,,,,,,,,,,,,,,,,
WIPRO,Normal,S200,Smartpick 200,"WIPRO,",Large Cap,,TATACONSUM,Large Cap,,,,,,,,,,,,,,,,,
EICHERMOT,Normal,S200,Smartpick 200,"EICHERMOT,",Large Cap,,INDUSTOWER,Large Cap,,,,,,,,,,,,,,,,,
SBILIFE,Normal,S200,Smartpick 200,"SBILIFE,",Large Cap,,CIPLA,Large Cap,,,,,,,,,,,,,,,,,
